safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_9d5ecb6a0ff3be9d_328,0.004032,0.041,0.058,0.902,-0.34,0.0,0.0,0.008065,third,3.2745,0.8929,0.0,0
inst_e5df6df9d0b45edb_329,0.064103,0.071,0.021,0.907,0.8807,0.0,0.0,0.017094,third,3.7732,0.9818,0.012821,3
inst_2cff3f9a92051a94_330,0.060086,0.095,0.093,0.812,0.5423,0.0,0.0,0.051502,third,3.3062,0.9279,0.004292,1
inst_d4a8281c3e9d5451_331,0.07173,0.078,0.043,0.88,0.8074,0.0,0.0,0.025316,third,3.4101,1.0,0.016878,4
inst_442b1e2fdb08ebf0_332,0.055556,0.054,0.026,0.92,0.4497,0.0,0.0,0.064103,third,3.0891,0.9565,0.017094,4
inst_2bf2f4ae73abab40_333,0.031088,0.0,0.083,0.917,-0.9353,0.0,0.0,0.0,none,3.3148,0.6042,0.036269,7
inst_2ccf667d5b0ef309_334,0.036145,0.125,0.0,0.875,0.8658,0.0,0.0,0.0,none,3.0826,0.9512,0.0,0
inst_28eb10c98868dcce_335,0.064103,0.123,0.041,0.836,0.9326,0.0,0.0,0.081197,third,3.2365,0.9762,0.008547,2
inst_3563eddfd5d7ad3c_336,0.03211,0.045,0.176,0.78,-0.9816,0.027523,0.0,0.03211,third,3.0797,0.9875,0.013761,3
inst_ea1dcbc540fc56a9_337,0.061674,0.053,0.083,0.864,-0.8225,0.0,0.0,0.008811,third,3.153,0.9775,0.013216,3
inst_3897b02985a9cbb1_338,0.020661,0.162,0.029,0.809,0.9781,0.0,0.0,0.016529,third,3.3671,0.8857,0.033058,8
inst_c82d95aeca386c14_339,0.052402,0.075,0.011,0.914,0.867,0.069869,0.004367,0.026201,first,3.0638,0.9684,0.017467,4
inst_168b0408a2a7753b_340,0.100877,0.095,0.058,0.848,0.7102,0.04386,0.0,0.074561,third,3.0416,0.988,0.008772,2
inst_a28b5362d5487144_341,0.008969,0.175,0.0,0.825,0.9904,0.0,0.0,0.040359,third,3.1648,0.9538,0.008969,2
inst_0b0e35f345c4e2a8_342,0.030702,0.159,0.172,0.668,-0.8437,0.039474,0.017544,0.030702,first,2.8284,0.9588,0.004386,1
inst_647cc93437d6c045_343,0.033816,0.158,0.0,0.842,0.9806,0.0,0.009662,0.024155,third,3.3175,0.9342,0.043478,9
inst_c9a2e46179f09860_344,0.036364,0.197,0.0,0.803,0.9903,0.004545,0.0,0.068182,third,3.2582,0.9364,0.013636,3
inst_478896eaf5405e62_345,0.012903,0.154,0.103,0.744,0.8433,0.083871,0.0,0.03871,first,3.0666,0.9636,0.0,0
inst_313466794908667b_346,0.070796,0.125,0.099,0.777,0.5927,0.035398,0.061947,0.017699,second,2.8376,0.9375,0.0,0
inst_0f4566a1a18ec84d_347,0.016736,0.094,0.011,0.895,0.9398,0.004184,0.0,0.008368,third,2.8058,0.7672,0.0,0
inst_dce8d6909183a22f_348,0.045455,0.089,0.035,0.876,0.9022,0.0,0.0,0.004545,third,3.3262,0.9286,0.036364,8
inst_c50c2be060acaa18_349,0.0,0.073,0.032,0.895,0.8074,0.00813,0.004065,0.012195,third,4.048,0.9901,0.004065,1
inst_3400a2a0f4a4a37d_350,0.03125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,4.105,1.0,0.0,0
inst_a055ef7148ac7967_351,0.031496,0.0,0.069,0.931,-0.743,0.007874,0.0,0.102362,third,2.8102,0.9362,0.015748,2
inst_b7b92f8ba3a6b1a7_352,0.039648,0.073,0.049,0.878,0.3818,0.0837,0.0,0.030837,first,2.9317,0.9726,0.022026,5
inst_a19dca00a5c91cbd_353,0.054054,0.164,0.0,0.836,0.8316,0.0,0.0,0.054054,third,3.3606,0.9444,0.027027,2
inst_37376213c1c92c53_354,0.059574,0.228,0.056,0.716,0.9886,0.097872,0.0,0.059574,first,2.6418,0.9293,0.0,0
inst_a92f63975afb42ef_355,0.056872,0.068,0.018,0.913,0.846,0.066351,0.009479,0.047393,first,3.3988,0.9857,0.004739,1
inst_2711440c6747044a_356,0.029661,0.056,0.077,0.868,-0.6705,0.004237,0.0,0.038136,third,2.9008,0.9744,0.012712,3
inst_e052446306661f8d_357,0.045455,0.047,0.032,0.921,0.2732,0.0,0.0,0.022727,third,3.6348,0.875,0.011364,1
inst_34db2bd530eaf591_358,0.009756,0.15,0.016,0.835,0.9751,0.019512,0.0,0.029268,third,2.9876,0.9647,0.019512,4
inst_95f4e1be22dd9205_359,0.036885,0.074,0.02,0.906,0.8807,0.012295,0.016393,0.012295,second,3.4394,1.0,0.012295,3
inst_55b3a37f44ba1aee_360,0.061947,0.075,0.026,0.899,0.8402,0.0,0.0,0.00885,third,3.1562,0.9706,0.039823,9
inst_d60ba0437b9309e8_361,0.07234,0.01,0.064,0.926,-0.8271,0.0,0.0,0.017021,third,3.4869,0.96,0.021277,5
inst_35ab5ea8e3213c96_362,0.017467,0.041,0.151,0.807,-0.9746,0.008734,0.0,0.0,first,3.1164,0.9612,0.004367,1
inst_c9486dd474dc5590_363,0.008621,0.086,0.011,0.903,0.91,0.0,0.0,0.008621,third,2.8429,0.9296,0.030172,7
inst_fcf5129ae051f883_364,0.00823,0.123,0.037,0.84,0.9454,0.049383,0.012346,0.004115,first,2.9083,0.9048,0.012346,3
inst_cd27a6b64a77a4cd_365,0.066667,0.165,0.0,0.835,0.987,0.053333,0.013333,0.031111,first,3.2823,0.9405,0.013333,3
inst_aaf227744474b489_366,0.043668,0.081,0.067,0.851,0.722,0.026201,0.021834,0.113537,third,3.1173,0.913,0.008734,2
inst_d63fc32610c481b8_367,0.013158,0.081,0.0,0.919,0.938,0.0,0.0,0.017544,third,3.2474,0.9385,0.030702,7
inst_294e898a1735beb6_368,0.008163,0.065,0.0,0.935,0.9161,0.0,0.004082,0.0,second,2.7492,0.5714,0.0,0
inst_22d5eee8392f6a5f_369,0.076087,0.1,0.07,0.831,0.8033,0.01087,0.0,0.11413,third,3.1722,0.8816,0.021739,4
inst_15bd7f250f0dd5c4_370,0.066667,0.141,0.035,0.824,0.9586,0.029167,0.0,0.033333,third,2.9335,0.9479,0.025,6
inst_244352751e752491_371,0.076233,0.039,0.056,0.905,-0.3612,0.049327,0.004484,0.013453,first,3.0924,0.9886,0.017937,4
inst_85ff46940a6e9b02_372,0.058824,0.066,0.042,0.892,0.4215,0.0,0.0,0.023529,third,2.9685,0.9756,0.029412,5
inst_5ea8c4e5d08edc0d_373,0.047009,0.176,0.068,0.756,0.9674,0.008547,0.0,0.029915,third,3.1868,0.9787,0.012821,3
inst_91d5e81a6ae5711a_374,0.054545,0.134,0.046,0.82,0.9641,0.068182,0.036364,0.013636,first,3.1684,1.0,0.013636,3
inst_e541ec6fdd7e81a9_375,0.048246,0.161,0.081,0.758,0.9539,0.030702,0.0,0.02193,first,2.7713,0.9474,0.008772,2
inst_2820b490bed7c563_376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,4.14,0.25,0.0,0
inst_765402e2b624f3f4_377,0.035714,0.127,0.0,0.873,0.9709,0.0,0.0,0.017857,third,3.0156,0.9907,0.004464,1
inst_bf1143b78df36c28_378,0.052,0.035,0.12,0.844,-0.9565,0.012,0.0,0.024,third,3.0465,0.9892,0.016,4
inst_17ebc157371ab538_379,0.078947,0.076,0.06,0.864,0.7423,0.030702,0.0,0.048246,third,2.9479,0.9333,0.008772,2
inst_a9c4d3eac0896bf6_380,0.033613,0.057,0.099,0.844,-0.7127,0.05042,0.033613,0.029412,first,2.6449,0.9677,0.016807,4
inst_098cf946d3783ee0_381,0.059259,0.0,0.0,1.0,0.0,0.037037,0.0,0.081481,third,3.078,0.9483,0.022222,3
inst_bc9467d395473c74_382,0.0,0.093,0.043,0.865,0.872,0.0,0.0,0.0,none,2.3409,0.8462,0.004167,1
inst_2f237ec9b443729f_383,0.015385,0.127,0.074,0.799,0.9329,0.057692,0.007692,0.015385,first,2.8535,0.9271,0.003846,1
